topic_id,top_keywords,top_weights,label
0,"grad, temperatură, zonă, apă, până, oră, mare, gaz, kilometru, lună","0.0293, 0.0160, 0.0138, 0.0135, 0.0133, 0.0130, 0.0106, 0.0106, 0.0101, 0.0098",
1,"leu, ban, milion, euro, lună, dolar, miliard, preț, mare, mult","0.0282, 0.0190, 0.0179, 0.0168, 0.0133, 0.0111, 0.0098, 0.0096, 0.0095, 0.0086",
2,"președinte, stat, ministru, lege, partid, declara, funcție, proiect, face, privind","0.0172, 0.0115, 0.0110, 0.0107, 0.0081, 0.0077, 0.0075, 0.0073, 0.0069, 0.0068",
3,"vot, oră, vota, alegere, primar, candidat, loc, oraș, electoral, persoană","0.0369, 0.0253, 0.0209, 0.0185, 0.0180, 0.0165, 0.0131, 0.0124, 0.0123, 0.0121",
4,"putea, studiu, știință, mult, cercetător, acesta, caz, dintre, acela, timp","0.0236, 0.0147, 0.0096, 0.0086, 0.0079, 0.0072, 0.0071, 0.0068, 0.0063, 0.0059",
5,"putea, face, spune, acesta, acela, trebui, dată, dacă, mult, cum","0.0164, 0.0131, 0.0127, 0.0108, 0.0104, 0.0094, 0.0090, 0.0088, 0.0077, 0.0056",
6,"meci, echipă, doi, scor, fotbal, gol, minut, prim, partidă, juca","0.0341, 0.0296, 0.0176, 0.0172, 0.0157, 0.0141, 0.0141, 0.0136, 0.0114, 0.0105",
7,"descoperi, planetă, afla, obiect, urmă, descoperire, zonă, mare, vin, kilometru","0.0197, 0.0171, 0.0149, 0.0129, 0.0125, 0.0125, 0.0114, 0.0114, 0.0106, 0.0091",
8,"său, putea, acesta, mult, acela, nou, doi, timp, mare, sistem","0.0364, 0.0193, 0.0134, 0.0093, 0.0088, 0.0084, 0.0065, 0.0063, 0.0062, 0.0060",
9,"mașină, nou, model, companie, producător, producție, auto, piață, vehicul, produce","0.0416, 0.0237, 0.0202, 0.0184, 0.0167, 0.0162, 0.0142, 0.0138, 0.0125, 0.0095",
10,"mult, face, spune, putea, acesta, foarte, acela, când, său, cum","0.0211, 0.0210, 0.0198, 0.0160, 0.0139, 0.0136, 0.0131, 0.0112, 0.0097, 0.0096",
11,"doi, femeie, său, echipă, aur, francez, timp, scrie, roman, lună","0.0163, 0.0151, 0.0143, 0.0132, 0.0127, 0.0107, 0.0096, 0.0092, 0.0089, 0.0080",
12,"eveniment, film, loc, acela, țară, spectacol, său, dintre, cadru, mult","0.0108, 0.0087, 0.0087, 0.0072, 0.0071, 0.0066, 0.0066, 0.0063, 0.0063, 0.0062",
13,"loc, prim, doi, finală, turneu, mondial, câștiga, sportiv, trei, punct","0.0221, 0.0212, 0.0192, 0.0153, 0.0130, 0.0111, 0.0108, 0.0105, 0.0097, 0.0092",
14,"domeniu, cadru, dezvoltare, țară, proiect, economic, stat, afacere, serviciu, precum","0.0150, 0.0120, 0.0119, 0.0118, 0.0111, 0.0083, 0.0073, 0.0073, 0.0071, 0.0068",
